2020-12-29 21:12:809 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:673 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (a2cf36016dac9aa78f6046576e4a07ea)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:798 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:671 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:849 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:571 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:161 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //select[@id='models']]
2020-12-29 21:12:403 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:648 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:900 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:784 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (ea95946eb9fa39081368c325a61f7a3c)] -> xpath: //h1[@class = "listing-search-title"]]
2020-12-29 21:12:688 INFO  SearchCarsResultPage :28 - Get title of page : 
2020-12-29 21:12:206 INFO  BasePage :32 - Launching Chrome Browser
2020-12-29 21:12:118 INFO  HomePage :31 - Mouse Hover on buy+sell : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-29 21:12:822 INFO  SearchCarsPage :35 - Select car brand : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //select[@id='makes']]
2020-12-29 21:12:409 INFO  SearchCarsPage :42 - Select car model : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //select[@id='models']]
2020-12-29 21:12:629 INFO  SearchCarsPage :49 - Select car location : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //select[@id='locations']]
2020-12-29 21:12:861 INFO  SearchCarsPage :56 - Select car maximum price : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //select[@id='priceTo']]
2020-12-29 21:12:109 INFO  SearchCarsPage :63 - Submit search criteria : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //input[@id='search-submit']]
2020-12-29 21:12:662 INFO  SearchCarsResultPage :21 - Get text from search result : [[ChromeDriver: chrome on WINDOWS (18d812a07fafe7587f9080b3a64e4851)] -> xpath: //h1[@class = "listing-search-title"]]
